Document Name,Parties,Agreement Date,Expiration Date,Question,Answer,Category
Software License Agreement 1,Software Inc & Business Solutions,2021-06-14,2022-06-14,What is the license fee?,The license fee is $10000 annually.,Software License Agreement
Software License Agreement 2,Tech Innovators & Customer Corp,2021-04-07,2022-04-07,Can the license be transferred?,Transferability: allowed.,Software License Agreement
Non-Disclosure Agreement 3,Tech Innovators & Solutions LLC,2022-06-24,2024-06-23,What are the parties in the Non-Disclosure Agreement 3?,The parties are Tech Innovators & Solutions LLC.,Non-Disclosure Agreement
Service Level Agreement 4,Hosting Corp & Business Solutions,2021-12-16,2024-12-15,What are the support hours?,Support is available 24/7.,Service Level Agreement
Non-Disclosure Agreement 5,Tech Innovators & Solutions LLC,2020-11-04,2021-11-04,What is the confidentiality period?,The confidentiality period is 2 years.,Non-Disclosure Agreement
Software License Agreement 6,Code Masters & Business Solutions,2020-03-26,2021-03-26,What is the term of the license?,The license term is 1 years.,Software License Agreement
Non-Disclosure Agreement 7,Company A & Solutions LLC,2020-08-03,2023-08-03,What are the parties in the Non-Disclosure Agreement 7?,The parties are Company A & Solutions LLC.,Non-Disclosure Agreement
Service Level Agreement 8,Cloud Services Ltd & Customer LLC,2020-07-17,2022-07-17,What are the support hours?,Support is available 24/7.,Service Level Agreement
Software License Agreement 9,Software Inc & Client LLC,2020-11-15,2023-11-15,What is the license fee?,The license fee is $5000 annually.,Software License Agreement
Non-Disclosure Agreement 10,Corp Alpha & Solutions LLC,2020-10-25,2022-10-25,What is the confidentiality period?,The confidentiality period is 3 years.,Non-Disclosure Agreement
Software License Agreement 11,Software Inc & Client LLC,2020-02-29,2022-02-28,What is the term of the license?,The license term is 3 years.,Software License Agreement
Service Level Agreement 12,Cloud Services Ltd & Customer LLC,2020-10-13,2022-10-13,What is the response time for critical issues?,Response time is 4 hours.,Service Level Agreement
Software License Agreement 13,Tech Innovators & Client LLC,2022-03-01,2024-02-29,What is the term of the license?,The license term is 2 years.,Software License Agreement
Service Level Agreement 14,Tech Solutions Inc & Client Corp,2022-06-11,2023-06-11,What is the uptime guarantee?,The uptime guarantee is 99.9%.,Service Level Agreement
Service Level Agreement 15,Cloud Services Ltd & Customer LLC,2022-04-04,2023-04-04,What are the support hours?,Support is available on business days.,Service Level Agreement
Service Level Agreement 16,Hosting Corp & Business Solutions,2021-06-10,2024-06-09,What is the response time for critical issues?,Response time is 1 hour.,Service Level Agreement
Service Level Agreement 17,Cloud Services Ltd & Client Corp,2022-05-28,2023-05-28,What is the uptime guarantee?,The uptime guarantee is 99.5%.,Service Level Agreement
Software License Agreement 18,Code Masters & Client LLC,2022-06-06,2025-06-05,Can the license be transferred?,Transferability: allowed with consent.,Software License Agreement
Software License Agreement 19,Software Inc & Customer Corp,2022-04-26,2023-04-26,What is the term of the license?,The license term is 2 years.,Software License Agreement
Service Level Agreement 20,Hosting Corp & Business Solutions,2020-12-07,2021-12-07,What are the support hours?,Support is available 24/7.,Service Level Agreement
Non-Disclosure Agreement 21,Company A & Solutions LLC,2021-11-29,2023-11-29,What is the confidentiality period?,The confidentiality period is 1 years.,Non-Disclosure Agreement
Software License Agreement 22,Code Masters & Client LLC,2020-01-26,2023-01-25,Can the license be transferred?,Transferability: allowed with consent.,Software License Agreement
Software License Agreement 23,Software Inc & Client LLC,2022-02-15,2025-02-14,What is the license fee?,The license fee is $15000 annually.,Software License Agreement
Service Level Agreement 24,Tech Solutions Inc & Customer LLC,2022-07-30,2024-07-29,What is the uptime guarantee?,The uptime guarantee is 99.9%.,Service Level Agreement
Software License Agreement 25,Code Masters & Business Solutions,2020-11-11,2021-11-11,What is the term of the license?,The license term is 2 years.,Software License Agreement
Software License Agreement 26,Software Inc & Customer Corp,2022-08-09,2025-08-08,What is the term of the license?,The license term is 3 years.,Software License Agreement
Software License Agreement 27,Code Masters & Client LLC,2022-05-09,2025-05-08,What is the license fee?,The license fee is $15000 annually.,Software License Agreement
Software License Agreement 28,Code Masters & Customer Corp,2022-06-29,2024-06-28,What is the term of the license?,The license term is 2 years.,Software License Agreement
Non-Disclosure Agreement 29,Corp Alpha & Solutions LLC,2022-01-24,2023-01-24,What are the penalties for breach?,Penalties include legal action.,Non-Disclosure Agreement
Software License Agreement 30,Tech Innovators & Business Solutions,2022-06-06,2024-06-05,What is the term of the license?,The license term is 1 years.,Software License Agreement
Non-Disclosure Agreement 31,Corp Alpha & Solutions LLC,2020-12-10,2023-12-10,What are the penalties for breach?,Penalties include termination of agreement.,Non-Disclosure Agreement
Software License Agreement 32,Software Inc & Business Solutions,2021-12-10,2023-12-10,What is the term of the license?,The license term is 2 years.,Software License Agreement
Non-Disclosure Agreement 33,Corp Alpha & Company B,2021-07-15,2022-07-15,What are the parties in the Non-Disclosure Agreement 33?,The parties are Corp Alpha & Company B.,Non-Disclosure Agreement
Software License Agreement 34,Software Inc & Business Solutions,2021-08-30,2024-08-29,What is the term of the license?,The license term is 3 years.,Software License Agreement
Service Level Agreement 35,Cloud Services Ltd & Customer LLC,2020-05-27,2023-05-27,What is the response time for critical issues?,Response time is 4 hours.,Service Level Agreement
Software License Agreement 36,Code Masters & Customer Corp,2021-05-07,2024-05-06,What is the term of the license?,The license term is 1 years.,Software License Agreement
Non-Disclosure Agreement 37,Company A & Startup X,2022-03-05,2024-03-04,What are the parties in the Non-Disclosure Agreement 37?,The parties are Company A & Startup X.,Non-Disclosure Agreement
Service Level Agreement 38,Hosting Corp & Business Solutions,2022-06-17,2025-06-16,What are the support hours?,Support is available 9 AM - 5 PM.,Service Level Agreement
Service Level Agreement 39,Cloud Services Ltd & Client Corp,2021-06-22,2022-06-22,What are the support hours?,Support is available on business days.,Service Level Agreement
Service Level Agreement 40,Hosting Corp & Business Solutions,2021-09-14,2023-09-14,What is the uptime guarantee?,The uptime guarantee is 99.9%.,Service Level Agreement
